"date","BC","Dust","OC","SO4","SS","PM25"
1994-10-13,1.85403268053263e-07,5.30504828976413e-06,4.90814805253213e-07,1.07245385654181e-05,1.59930962094357e-05,3.26989011379244e-05
1994-10-14,1.88542773862144e-07,7.13080435356801e-06,4.94786862552347e-07,1.03105084412308e-05,1.90549722100594e-05,3.71796146412727e-05
1994-10-15,1.97086572886497e-07,7.82780932981837e-06,5.10089057576292e-07,9.97490727733988e-06,1.70754101705721e-05,3.55853024081931e-05
1994-10-16,2.01575261485941e-07,7.20163143211714e-06,5.14487231366461e-07,9.79142430864621e-06,1.32638755049782e-05,3.0972993738594e-05
1994-10-17,2.09916320325922e-07,7.59099682893337e-06,5.36226430085777e-07,9.92529521457937e-06,1.12750617233739e-05,2.95374965172983e-05
1994-10-18,2.16975563748161e-07,7.65936984939761e-06,5.44331535011593e-07,9.98602139123653e-06,8.34234900384736e-06,2.67490473432412e-05
1994-10-19,2.14077558058017e-07,7.53843185739853e-06,5.63922791848714e-07,9.80820497524596e-06,9.37071379092895e-06,2.74953509734802e-05
1994-10-20,2.17447947596111e-07,7.98475518466254e-06,5.87953131074151e-07,9.82535613862555e-06,1.09335743031479e-05,2.95490867051063e-05
1994-10-21,2.27432660942048e-07,7.43995467868757e-06,6.0981315573936e-07,1.00552419190737e-05,5.93569843715106e-06,2.42681408515937e-05
1994-10-22,2.21077009392113e-07,6.93976158115253e-06,6.05072272840525e-07,9.97509432389999e-06,9.76738350070588e-06,2.7508388687991e-05
1994-10-23,2.0996528971712e-07,8.23704092416987e-06,5.68299035259877e-07,9.88037563433695e-06,1.53638443416797e-05,3.42595252251635e-05
1994-10-24,2.15144454785626e-07,1.0678643583573e-05,5.74234398050621e-07,1.02400079754078e-05,1.25979939163146e-05,3.43060243281316e-05
1994-10-25,2.18100958919061e-07,1.09710194336048e-05,5.80243935504558e-07,1.01882685214342e-05,1.1138081832349e-05,3.30957146818117e-05
1994-10-26,2.16283722048507e-07,1.13386614335092e-05,5.78803389795605e-07,1.00029235161709e-05,1.08560325342161e-05,3.29927045957404e-05
1994-10-27,2.13459298434126e-07,1.122316401804e-05,5.71137960742191e-07,1.01765899555671e-05,1.16575076998002e-05,3.38418589325835e-05
1994-10-28,2.09204718910637e-07,1.02805905028195e-05,5.51183022055698e-07,1.02862328634117e-05,1.25053439902348e-05,3.38325550974323e-05
