"date","BC","Dust","OC","SO4","SS","PM25"
2014-12-06,3.66598892269948e-07,5.40107325088178e-06,1.65671763357898e-06,1.86815699620285e-06,3.63434147995839e-05,4.56359615725175e-05
2014-12-07,2.94821857506044e-07,5.06366457979401e-06,1.26611053960793e-06,1.68399883758022e-06,3.46635171364012e-05,4.29721129508894e-05
2014-12-08,2.85357242247837e-07,4.33636657458413e-06,1.14653765899349e-06,1.56426857241837e-06,3.10703486017917e-05,3.84028786500355e-05
2014-12-09,3.4379794023476e-07,3.93994572622358e-06,1.31854474324962e-06,1.94304581542357e-06,3.45899119896361e-05,4.21352462147676e-05
2014-12-10,3.34559957566371e-07,5.10913223536577e-06,1.4684864382945e-06,1.76072617178884e-06,2.88820508593033e-05,3.75549556623187e-05
2014-12-11,3.20758059819098e-07,5.68785061669859e-06,1.27035022393275e-06,1.96210218116784e-06,1.80268519893473e-05,2.72679130709656e-05
2014-12-12,2.88000360739382e-07,4.43455829466467e-06,1.15248500899951e-06,1.63715501583933e-06,1.91864356556143e-05,2.66986343358572e-05
2014-12-13,4.24653236065894e-07,3.6788812270995e-06,3.18017258560854e-06,1.43731233837082e-06,2.92902288765185e-05,3.80112482636632e-05
2014-12-14,7.36213302931007e-07,3.35606561135767e-06,6.56334242912258e-06,1.65269168829868e-06,1.8189697762473e-05,3.04980107941829e-05
2014-12-15,7.81617625350902e-07,2.96235329732157e-06,6.97873822913031e-06,1.5846218819458e-06,2.09943766288916e-05,3.33017076626401e-05
2014-12-16,6.81226971191011e-07,4.24013980187272e-06,6.06373503420109e-06,1.4881424405979e-06,2.44654001498156e-05,3.69386443976783e-05
2014-12-17,7.08767988277737e-07,6.07191261778488e-06,6.23962922625463e-06,1.63490102058951e-06,2.10377296322198e-05,3.56929404851266e-05
2014-12-18,5.9009305926665e-07,4.82988594571274e-06,4.94442379475506e-06,1.54424057787748e-06,1.89642425194613e-05,3.08728858970732e-05
2014-12-19,4.96547586479025e-07,3.86693547957192e-06,3.82849226658683e-06,1.5593682717016e-06,1.50616043656805e-05,2.48129479700198e-05
2014-12-20,4.45620218850894e-07,3.810147402081e-06,3.24265003173828e-06,1.672071487098e-06,1.64137848705402e-05,2.55842740103084e-05
2014-12-21,4.89895283469813e-07,4.21257053440447e-06,3.69755189151175e-06,1.82266037564297e-06,1.67668861568107e-05,2.69895642418397e-05
2014-12-22,4.36340224954083e-07,4.7241220193669e-06,3.06542830961557e-06,1.8916506108154e-06,1.85191057977646e-05,2.86366469625165e-05
2014-12-23,4.11892042675982e-07,4.97085789350843e-06,2.84776941934082e-06,1.99702189359725e-06,2.90391273334156e-05,3.92666685825381e-05
2014-12-24,4.22611823483749e-07,4.41320293679897e-06,2.91142867920752e-06,1.87448680998352e-06,2.24329419483932e-05,3.2054672197867e-05
2014-12-25,3.69910879884147e-07,4.5056591819125e-06,2.292065903786e-06,1.59355327802051e-06,1.75006767763148e-05,2.6261866019918e-05
2014-12-26,2.64329149529954e-07,4.29213326347722e-06,1.40627333592094e-06,1.21561805289002e-06,1.76387614967545e-05,2.48171152985727e-05
2014-12-27,2.65307362484487e-07,5.5883006743672e-06,1.52595681119203e-06,1.05464602608151e-06,2.03072749265156e-05,2.87414858006409e-05
2014-12-28,3.46484529699928e-07,6.66882291604717e-06,1.79317434625855e-06,1.35050130975198e-06,3.52574128371395e-05,4.54163959388972e-05
2014-12-29,3.24815810860941e-07,4.92242932409635e-06,1.52586521893283e-06,1.42563389394716e-06,3.9264526166672e-05,4.74632704145093e-05
2014-12-30,4.3078690296893e-07,4.17499938242712e-06,2.45490820052986e-06,1.63799795177572e-06,1.97157523324214e-05,2.8414444770123e-05
2014-12-31,3.37611759957073e-07,3.52425140264702e-06,1.65774936108485e-06,1.73004569017069e-06,2.34244616947013e-05,3.06741199085609e-05
2015-01-01,3.10311933059569e-07,3.68356026984541e-06,1.45111987163917e-06,1.84699947709703e-06,3.68850143456579e-05,4.41770058972991e-05
2015-01-02,2.86862369007711e-07,3.55248725999929e-06,1.35000119385901e-06,1.84075526510843e-06,4.13338176914394e-05,4.83639237794138e-05
2015-01-03,3.07163203173251e-07,3.3576115538771e-06,1.54740876805692e-06,1.53622201590812e-06,2.41668815842584e-05,3.09152871252738e-05
2015-01-04,5.91010987120366e-07,2.76167095430251e-06,3.80998820254144e-06,1.35595976485523e-06,2.58426781037095e-05,3.43613080125291e-05
2015-01-05,5.66809623090569e-07,2.1526383801905e-06,3.70417687913574e-06,1.28344718000032e-06,2.36239406753506e-05,3.13310127377677e-05
2015-01-06,5.34676634109804e-07,1.92079241887218e-06,3.27723113541276e-06,1.49393559551651e-06,3.56682815097578e-05,4.28949172936691e-05
2015-01-07,5.11960246432048e-07,2.12437216390728e-06,2.9457457371502e-06,1.65436071030269e-06,3.15218300239051e-05,3.87582688816974e-05
2015-01-08,3.66237123608285e-07,4.66096045348329e-06,1.74127006539796e-06,1.72771922488988e-06,2.59808547386036e-05,3.4477041605983e-05
2015-01-09,3.11548398154758e-07,7.4298596405001e-06,1.18065266518921e-06,2.05300896672124e-06,2.4226559222891e-05,3.52016288934563e-05
2015-01-10,2.93614466179611e-07,7.00599106834839e-06,1.05224099903282e-06,2.28754362310651e-06,3.00742402703627e-05,4.071363042703e-05
2015-01-11,2.69224638266188e-07,4.83936751742835e-06,9.14925760275474e-07,2.1848697936566e-06,3.64457676755929e-05,4.46541553852195e-05
2015-01-12,2.65708004934112e-07,4.16988106850053e-06,8.93879833996732e-07,2.10013613319522e-06,5.67823130451839e-05,6.42119180858105e-05
2015-01-13,2.52895966087249e-07,5.32601023545007e-06,8.50680587552196e-07,2.11733975557483e-06,4.71475509807959e-05,5.56944775254602e-05
2015-01-14,2.62969438756247e-07,4.88792469399411e-06,9.13555022480216e-07,1.89935499074757e-06,3.54458007246221e-05,4.34096048706003e-05
2015-01-15,2.73602889806454e-07,6.04764134193807e-06,9.32077154657315e-07,1.85259743815705e-06,3.5251356958084e-05,4.43572757826429e-05
2015-01-16,2.46509822919974e-07,6.61038977209146e-06,8.53818833885541e-07,1.67764504378373e-06,2.08673286500834e-05,3.02556921227641e-05
2015-01-17,2.11851987999744e-07,4.80926451590673e-06,7.66149211218281e-07,1.37363403676191e-06,2.06953303586052e-05,2.78562301104919e-05
2015-01-18,1.98501545683342e-07,3.2702040547662e-06,7.08615238909573e-07,1.19809029171558e-06,2.78764048508573e-05,3.32518159819319e-05
2015-01-19,2.52924918546168e-07,2.68754327256942e-06,9.58974410271884e-07,1.34025376370643e-06,1.84643649040045e-05,2.37040612690984e-05
2015-01-20,4.39011989300829e-07,2.61589686958624e-06,2.19944187724839e-06,1.55068429330382e-06,1.57154868580055e-05,2.25205218874448e-05
2015-01-21,3.83777972397732e-07,2.98210444970526e-06,1.69578661564677e-06,1.48825278282507e-06,1.88483079171872e-05,2.5398229737762e-05
2015-01-22,3.56146859767285e-07,3.6007544316582e-06,1.52292783406229e-06,1.52656591269118e-06,1.54364763587746e-05,2.24428713969536e-05
2015-01-23,3.95331827520094e-07,3.2354333182596e-06,1.9701701937264e-06,1.5507850801537e-06,1.48472433271424e-05,2.19989637468022e-05
2015-01-24,5.84190811298159e-07,2.58158248182592e-06,3.78347344974481e-06,1.56921880299179e-06,5.66100366424522e-05,6.51285021883129e-05
2015-01-25,5.06967532955711e-07,2.96296856003201e-06,3.02072256727155e-06,1.73589913865639e-06,6.7164566995977e-05,7.53911247948926e-05
2015-01-26,3.37415608413672e-07,7.65535603089012e-06,1.40633225187182e-06,2.39765691625065e-06,6.46436185631124e-05,7.64403793705387e-05
2015-01-27,2.85041678178679e-07,9.42122831537203e-06,9.42307058304063e-07,2.30762595747941e-06,3.2604827000242e-05,4.55610300095762e-05
2015-01-28,2.93831099273412e-07,8.80320082038442e-06,9.86875048548496e-07,2.39112918495341e-06,2.93940134164635e-05,4.18690495696233e-05
2015-01-29,2.99818904847705e-07,8.16194542487906e-06,9.71450510322078e-07,2.71034087018522e-06,3.91416355137327e-05,5.12851912239668e-05
2015-01-30,2.94784931333412e-07,6.73489919110034e-06,9.30229291030273e-07,2.73617065526605e-06,3.88777349466096e-05,4.95738190153397e-05
2015-01-31,2.79948558306332e-07,6.25696782783795e-06,8.83112088717561e-07,2.5228697753986e-06,4.33149002936554e-05,5.32577985439159e-05
2015-02-01,2.33157274924663e-07,5.23939078725595e-06,7.73496131425767e-07,1.830562504201e-06,2.70648444466197e-05,3.5141451144427e-05
2015-02-02,3.36786802717852e-07,4.81317617648578e-06,1.46894017798682e-06,1.91372863681239e-06,2.65909954457305e-05,3.51236272397334e-05
2015-02-03,2.86956234684372e-07,4.9483833026134e-06,1.11215282154853e-06,1.85239432685365e-06,3.98992635374405e-05,4.80991502231405e-05
2015-02-04,2.58547046829696e-07,4.37741768411721e-06,1.07011650594658e-06,1.73218676969971e-06,3.3679194248989e-05,4.11174622555822e-05
2015-02-05,2.63406933281282e-07,4.16183392894891e-06,1.10143333487348e-06,1.75018257447016e-06,3.14084530874766e-05,3.86853098590505e-05
2015-02-06,2.24816454492805e-07,4.46243619737844e-06,8.54088197923191e-07,1.63266437890073e-06,2.88413156722501e-05,3.60153209009453e-05
2015-02-07,2.19629739743915e-07,4.47562176576698e-06,8.16383149793873e-07,1.73775815488464e-06,3.36170480307782e-05,4.08664408409676e-05
2015-02-08,2.30933117045893e-07,5.32045994104213e-06,8.73688713881891e-07,1.93801650529139e-06,4.75855245544049e-05,5.59486228316662e-05
2015-02-09,2.43128916135689e-07,1.23413158980258e-05,8.73162201599157e-07,2.42664523777327e-06,6.04752078143169e-05,7.63594600678508e-05
2015-02-10,2.47914486454738e-07,1.41657226894681e-05,8.76442779646868e-07,2.4955857236127e-06,5.74184796960436e-05,7.52041453752261e-05
2015-02-11,2.47141982121253e-07,1.05720883303052e-05,8.93310102937711e-07,2.2530207879555e-06,3.62521798540265e-05,5.02177410573461e-05
2015-02-12,2.42700525657409e-07,1.066527572755e-05,8.56862932852115e-07,1.96508597403753e-06,2.80586186687004e-05,4.17885438287974e-05
2015-02-13,3.09774120376038e-07,7.88362317901546e-06,9.58037688872453e-07,1.95869219817312e-06,4.65511842575179e-05,5.76613114439549e-05
2015-02-14,3.39162553721748e-07,8.67272826587154e-06,1.05934437586088e-06,2.42615884206752e-06,5.18612630689412e-05,6.43586571064629e-05
2015-02-15,3.24275978444737e-07,9.83075025044214e-06,9.68346273702882e-07,2.5813879129646e-06,3.6428315727112e-05,5.01330761426663e-05
2015-02-16,2.62752435958723e-07,7.76773581191193e-06,8.69655800262197e-07,2.27190008770081e-06,3.3001119610556e-05,4.41731637463897e-05
2015-02-17,2.20303722777238e-07,6.1392122864873e-06,7.97804355228999e-07,1.77596534086759e-06,2.46934169062948e-05,3.36267026116559e-05
2015-02-18,2.09241977812781e-07,5.47930049140216e-06,7.54334018453307e-07,1.67997749250664e-06,2.35412816112508e-05,3.16641355914257e-05
