date,nwvf_time_integral,EC,days_diff
2016-12-18,2037504.6670552657,40.0,7.0
2016-12-25,3313672.078682406,17.9,7.0
2017-01-01,406461.93095025304,7.7,7.0
2017-01-08,1202712.3615803493,28.9,7.0
2017-01-22,1207455.9314615275,40.7,14.0
2017-01-29,2048146.9982646927,48.6,7.0
2017-02-05,2136261.4664315763,9.1,7.0
2017-02-12,4367888.4469876075,16.6,7.0
2017-02-19,-138082.98026242023,80.3,7.0
2017-02-26,4975.978179589612,45.8,7.0
2017-03-05,-1248042.258614247,25.2,7.0
2017-03-12,731223.1876996133,27.0,7.0
2017-03-19,1083347.1794957956,61.8,7.0
2017-03-26,1362853.8786679558,31.1,7.0
2017-04-02,-1363886.6465479084,31.3,7.0
2017-04-09,-150740.2587984282,32.1,7.0
2017-04-16,-1036857.6316012652,21.8,7.0
2017-04-30,104329.53144528334,17.1,14.0
2017-05-07,-1021498.9442039257,21.1,7.0
2017-05-14,-2211404.923885885,12.5,7.0
2017-05-21,295163.1471205239,9.3,7.0
2017-05-28,-1852648.2689906305,11.0,7.0
2017-06-04,-2644060.040704418,8.1,7.0
2017-06-11,1311167.4489549836,6.1,7.0
2017-06-25,-2630721.0888679717,17.9,14.0
2017-07-02,341581.2357593971,,
2017-07-09,2181372.4664465343,14.7,7.0
2017-07-16,5089210.586286829,2.9,7.0
2017-07-23,5528848.86472372,9.0,7.0
2017-07-30,239488.9304009515,5.0,7.0
2017-08-06,-1475673.104083267,5.9,7.0
2017-08-13,1202004.7114406677,8.4,7.0
2017-08-20,1363926.6871551978,9.5,7.0
2017-08-27,1201772.9218597452,4.8,7.0
2017-09-03,2343971.4782755906,5.6,7.0
2017-09-10,6804881.830492931,1.0,7.0
2017-09-17,1599923.811917235,2.5,7.0
2017-09-24,4642430.330457013,7.4,7.0
2017-10-01,9648930.214418815,6.1,7.0
2017-10-08,2339680.188554906,4.0,7.0
2017-10-15,3456802.23088346,6.7,7.0
2017-10-22,-17445.820754769127,5.7,7.0
2017-10-29,927611.7965519927,13.0,7.0
2017-11-05,-295014.2122352052,19.2,7.0
2017-11-12,919616.005291271,10.4,7.0
2017-11-19,-242958.00093169056,17.7,7.0
2017-11-26,-1364783.912393036,8.0,7.0
2017-12-03,-245332.201775263,42.4,7.0
2017-12-10,-1375434.416482869,23.6,7.0
2017-12-17,226379.05275994207,21.1,7.0
2017-12-24,1750265.8467112079,19.2,7.0
2017-12-31,-1565910.1049259605,32.18,7.0
2018-01-07,-212772.7313107574,27.8,7.0
2018-01-14,3479526.7302325116,20.09,7.0
2018-01-21,3236294.503833542,12.6,7.0
2018-01-28,130818.35505359713,27.55,7.0
2018-02-04,884563.4949108224,10.29,7.0
2018-02-11,5054968.852598992,15.81,7.0
2018-02-18,2715785.7178554214,13.9,7.0
2018-02-25,3623735.318635658,8.61,7.0
2018-03-04,368948.76543104055,14.16,7.0
2018-03-11,-759174.5438413342,14.01,7.0
2018-03-18,288237.0149878825,17.16,7.0
2018-03-25,-1106628.5030894207,15.14,7.0
2018-04-01,-1401942.4371810418,28.69,7.0
2018-04-08,-609290.3146745546,41.89,7.0
2018-04-15,1194569.1517278727,34.38,7.0
2018-04-22,7368.997330107857,22.52,7.0
2018-04-29,-222853.44074601264,9.74,7.0
2018-05-06,5189514.946246259,11.13,7.0
2018-05-13,4555642.274071223,6.65,7.0
2018-05-20,3221424.1582405292,4.98,7.0
2018-05-27,2693928.0056889476,7.21,7.0
2018-06-03,709991.6710797037,6.98,7.0
2018-06-10,-2673538.260893541,4.7,7.0
2018-06-17,548036.2520872767,2.78,7.0
2018-06-24,2692139.2440476115,3.02,7.0
2018-07-01,2563446.322416389,2.97,7.0
2018-07-08,4652796.64743752,1.74,7.0
2018-07-15,6832227.335564839,2.09,7.0
2018-07-22,7999078.947685263,4.19,7.0
2018-07-29,8970324.051687941,8.66,7.0
2018-08-05,5333797.986987224,10.62,7.0
2018-08-12,-2212909.762752597,12.35,7.0
2018-08-19,1257530.0711229434,6.58,7.0
2018-08-26,676723.2073066585,4.21,7.0
2018-09-02,6418773.978324871,4.29,7.0
2018-09-09,4549544.389702595,2.48,7.0
2018-09-16,1804671.4973777244,2.85,7.0
2018-09-23,-1384332.6917300192,5.14,7.0
2018-09-30,-76204.53180461335,1.28,7.0
2018-10-07,-1722325.1551675543,4.07,7.0
2018-10-14,3454598.660123236,1.52,7.0
2018-10-21,4231314.551794834,3.81,7.0
2018-10-28,-1243211.5483295636,7.8,7.0
2018-11-04,3107684.738994726,4.61,7.0
2018-11-11,3553469.910034912,7.66,7.0
2018-11-18,2568861.3436879436,17.85,7.0
2018-11-25,-317016.4196259182,20.69,7.0
2018-12-02,-187347.58589479915,11.98,7.0
2018-12-09,1045228.1704591908,12.52,7.0
2018-12-16,2938356.970559599,54.9,7.0
2018-12-23,2243478.832998554,25.84,7.0
2018-12-30,161092.55848731985,12.61,7.0
2019-01-06,518977.5758034571,45.48,7.0
2019-01-13,-50240.506113168216,49.3,7.0
2019-01-20,-745758.7211497864,9.97,7.0
2019-01-27,461014.43610084173,22.69,7.0
2019-02-03,537790.9062854166,11.39,7.0
2019-02-10,-109525.74865076039,35.79,7.0
2019-02-17,-295897.3050926741,20.26,7.0
2019-02-24,1263142.5974741213,30.65,7.0
2019-03-03,-1242730.2813999588,9.94,7.0
2019-03-10,-1179535.8411769073,17.59,7.0
2019-03-17,101548.252256179,12.13,7.0
2019-03-24,2365610.9882457694,10.88,7.0
2019-03-31,176999.44933222176,12.26,7.0
2019-04-07,47436.91591332203,11.64,7.0
2019-04-14,318655.3296343329,0.25,7.0
2019-04-21,3439422.9411397874,8.32,7.0
2019-04-28,828023.3746418174,11.88,7.0
2019-05-05,-3282397.457288586,10.65,7.0
2019-05-12,-229222.1461833431,8.7,7.0
2019-05-19,358831.91534201946,0.01,7.0
2019-05-26,-2135604.7567841844,8.86,7.0
2019-06-02,-1165106.0177882786,,
2019-06-09,-632591.1113118485,7.44,7.0
2019-06-16,-3083924.9521622015,0.45,7.0
2019-06-23,-1756650.659136686,0.02,7.0
2019-06-30,-782533.8252575931,5.41,7.0
2019-07-07,-2000749.3485451268,7.61,7.0
2019-07-14,-1702972.2844447868,5.31,7.0
2019-07-21,563038.3897340032,13.79,7.0
2019-07-28,3437838.248212053,17.82,7.0
2019-08-04,-3778432.835235018,20.76,7.0
2019-08-11,-4359290.316532397,2.57,7.0
2019-08-18,-418905.17506392323,0.01,7.0
2019-08-25,3039000.387702893,4.43,7.0
2019-09-01,6380060.740231001,1.18,7.0
2019-09-08,3987957.572778594,1.92,7.0
2019-09-15,6206674.000325514,4.43,7.0
2019-09-22,-2731016.742629949,4.43,7.0
2019-09-29,-471349.37974750064,0.99,7.0
2019-10-06,-2164093.6796612586,4.96,7.0
2019-10-13,-605374.1031146897,3.56,7.0
2019-10-20,-274044.28007427533,4.71,7.0
2019-10-27,-1920077.516127671,0.02,7.0
2019-11-10,-2430549.9430953767,4.23,14.0
2019-11-17,1276586.2793003714,4.12,7.0
2019-11-24,2565531.013437365,6.63,7.0
2019-12-08,-561410.1425807899,60.47,14.0
2019-12-15,329164.62205978244,13.17,7.0
2019-12-22,-869687.8986430079,11.73,7.0
2019-12-29,1123055.9691769495,19.0,7.0
2020-01-05,-336642.01520819624,89.7,7.0
2020-01-12,2753198.5140359756,24.6,7.0
2020-01-19,-446569.18427995953,28.7,7.0
2020-01-26,687178.367470914,22.5,7.0
2020-02-02,695939.4878651586,21.0,7.0
2020-02-09,1252771.8797565463,1.4,7.0
2020-02-16,345720.26898232946,62.1,7.0
2020-02-23,299973.10684063926,89.0,7.0
2020-03-22,72104.55359815375,6.2,28.0
2020-04-05,584983.9597838867,17.3,14.0
2020-04-12,-190688.58132440067,8.7,7.0
2020-04-19,1865784.6440069124,11.6,7.0
2020-04-26,-2247225.184240961,15.9,7.0
2020-05-03,-414049.2902393878,11.9,7.0
2020-05-10,342152.18651519803,8.7,7.0
2020-05-17,-1641502.1569960883,6.1,7.0
2020-05-24,524651.4951962748,,
2020-05-31,4824038.839326438,6.1,7.0
2020-06-07,1716324.275243973,,
2020-06-14,2651697.559100844,4.1,7.0
2020-06-21,1351357.708028695,1.5,7.0
2020-06-28,1190871.696014788,4.9,7.0
2020-07-05,-1436303.2690473506,6.6,7.0
2020-07-12,691607.5632198215,0.5,7.0
2020-07-19,1766865.354894157,10.2,7.0
2020-07-26,3645815.039418132,8.6,7.0
2020-08-02,3745782.700872576,4.9,7.0
2020-08-09,3254274.9023081902,,
2020-08-16,4470359.29648672,7.0,7.0
2020-08-23,-420348.5331647312,1.9,7.0
2020-08-30,-510986.2509277622,2.6,7.0
2020-09-06,5698624.01760828,3.6,7.0
2020-09-13,2127726.8762291213,,
2020-09-20,854646.1863152133,3.0,7.0
2020-09-27,1237335.787606103,5.0,7.0
2020-10-04,7090804.155964377,14.4,7.0
2020-10-11,3070240.9151487797,3.2,7.0
2020-10-18,-1557156.5021307534,4.2,7.0
2020-10-25,-1046431.277944798,2.7,7.0
2020-11-01,1178666.085893249,4.5,7.0
2020-11-08,2867179.5044085784,11.2,7.0
2020-11-15,4879997.029363752,11.7,7.0
2020-11-22,1414705.0801101387,4.1,7.0
2020-11-29,2391233.1530626453,6.5,7.0
2020-12-06,2412366.742680351,4.8,7.0
2020-12-13,1269823.1963642132,6.2,7.0
2020-12-20,-553943.6562888407,10.2,7.0
2020-12-27,2404893.7880311054,,
2021-01-03,1937719.3233446775,3.9,7.0
2021-01-10,3638381.4688965864,23.7,7.0
2021-01-17,746478.7648107719,16.4,7.0
2021-01-24,-1753864.4203314295,5.4,7.0
2021-01-31,-728408.961949469,33.9,7.0
2021-02-07,-875214.5214447024,13.7,7.0
2021-02-14,-1033084.3333241163,6.1,7.0
2021-02-21,2768685.2242484675,5.3,7.0
2021-02-28,2151237.035826474,13.5,7.0
2021-03-07,-1490371.8424259676,16.2,7.0
2021-03-14,658140.1617311654,29.0,7.0
2021-03-21,358850.1120266995,49.2,7.0
2021-03-28,1848206.3269352594,31.2,7.0
