date,nwvf_time_integral,SO4,days_diff
2011-09-25,1129278.4408810402,0.022,7.0
2011-10-02,2906923.504924399,0.022,7.0
2011-10-09,3409534.066824716,0.021,7.0
2011-10-16,-856101.3122483721,0.017,7.0
2011-10-23,2050222.1035217578,0.028,7.0
2011-10-30,902765.1363022696,0.033,7.0
2011-11-06,3160723.629366503,0.035,7.0
2011-11-13,4437568.292061663,0.051,7.0
2011-11-20,2987943.9576323694,0.072,7.0
2011-11-27,-702416.4799011818,0.059,7.0
2011-12-04,2303270.9869985124,0.14,7.0
2011-12-11,1672016.4309488416,0.218,7.0
2011-12-18,118065.95901564386,0.059,7.0
2011-12-25,894427.1646415149,0.07,7.0
2012-01-01,2800509.3515918297,0.19,7.0
2012-01-08,930705.1492900293,0.238,7.0
2012-01-15,1015336.3556384199,0.323,7.0
2012-01-22,2105657.5661672098,0.129,7.0
2012-03-11,2765474.2745206812,0.151,49.0
2012-03-18,4071891.149015367,0.272,7.0
2012-03-25,127071.2148737731,0.277,7.0
2012-04-01,416362.5273673524,0.313,7.0
2012-04-15,-3078053.6682809656,0.358,14.0
2012-04-22,-609613.1916698923,0.205,7.0
2012-04-29,-262500.076624445,0.09,7.0
2012-05-06,623902.131633932,0.212,7.0
2012-05-13,-1138322.649217016,0.154,7.0
2012-05-20,-560480.5041585461,0.141,7.0
2012-05-27,1530211.182368692,0.09,7.0
2012-06-03,2241447.1251090136,0.167,7.0
2012-06-10,-3569997.605160372,0.02,7.0
2012-07-15,442544.62279726414,0.035,35.0
2012-07-22,-1960299.8323197225,0.063,7.0
2012-07-29,-1729138.1410096781,0.015,7.0
2012-08-05,725628.1004672891,0.015,7.0
2012-08-12,-1038478.1927146879,0.018,7.0
2012-08-19,3153602.1806131885,0.03,7.0
2012-08-26,-1870853.8934122222,0.041,7.0
2012-09-02,-1881197.9319154888,0.103,7.0
2012-09-16,6932884.126301177,0.022,14.0
2012-09-23,3757380.5177904377,0.024,7.0
2012-09-30,-199591.4359524007,0.036,7.0
2012-10-07,311617.2375220767,0.02,7.0
2012-10-14,1153980.5780206653,0.016,7.0
2012-10-21,436470.5146088673,0.02,7.0
2012-10-28,-757752.4004884497,0.002,7.0
2012-11-04,-2218097.6240767213,0.13,7.0
2012-11-11,366571.6586486149,0.09,7.0
2012-11-25,1096273.012793535,0.108,14.0
2012-12-02,980539.4084048267,0.092,7.0
2012-12-09,308106.61241430574,0.051,7.0
2012-12-16,669950.3120339878,0.043,7.0
2012-12-30,2772330.47995798,0.172,14.0
2013-01-20,500667.0703436608,0.173,21.0
2013-01-27,607680.0207857139,0.582,7.0
2013-02-03,-1370259.2623959593,0.12,7.0
2013-02-10,191380.4678205693,0.099,7.0
2013-02-17,1115053.016188675,0.071,7.0
2013-02-24,1069639.0072717124,0.085,7.0
2013-03-03,435095.6662532089,0.126,7.0
2013-03-10,-451527.4003294997,0.16,7.0
2013-03-17,-1441583.6329932162,0.11,7.0
2013-03-24,-1054053.0280500688,0.134,7.0
2013-03-31,-1562656.385879735,0.204,7.0
2013-04-14,-1768021.3634549817,0.27,14.0
2013-04-28,1380134.3740430293,0.289,14.0
2013-05-05,1179589.0857382677,0.34,7.0
2013-05-12,-240764.23611747002,0.132,7.0
2013-05-19,436206.8294152027,0.095,7.0
2013-05-26,1644145.7015388093,0.077,7.0
2013-06-02,2741404.0239666067,0.076,7.0
2013-06-09,3774774.9356124285,0.07,7.0
2013-06-16,2726658.1872800784,0.054,7.0
2013-06-23,-1650537.5632769722,0.015,7.0
2013-06-30,4805311.993349348,0.035,7.0
2013-07-07,7551261.932811976,0.042,7.0
2013-07-14,7599989.905304311,0.024,7.0
2013-07-28,1426139.2401521811,0.026,14.0
2013-08-04,2320012.981461968,0.011,7.0
2013-08-18,6513430.23771086,0.014,14.0
2013-09-01,10441292.024803314,0.01,14.0
2013-09-08,4032188.5485424455,0.015,7.0
2013-09-15,4791831.272131346,0.017,7.0
