time,nwvf
2013-12-12 20:00:00,-79625.79203069654
2013-12-13 02:00:00,-61164.8516587682
2013-12-13 08:00:00,-40460.48001549706
2013-12-13 14:00:00,6179.180941880202
2013-12-13 20:00:00,73631.7871331834
2013-12-14 02:00:00,122230.39247959662
2013-12-14 08:00:00,156739.1239687219
2013-12-14 14:00:00,185889.81080506876
2013-12-14 20:00:00,160892.35080322958
2013-12-15 02:00:00,211389.71820806837
2013-12-15 08:00:00,219167.5861310818
2013-12-15 14:00:00,194285.51781233738
2013-12-15 20:00:00,163491.87054660686
2013-12-16 02:00:00,203198.7119938651
2013-12-16 08:00:00,204695.16012190026
2013-12-16 14:00:00,162475.04059678377
2013-12-16 20:00:00,152535.77695093348
2013-12-17 02:00:00,118321.67814902065
2013-12-17 08:00:00,100680.74933656187
2013-12-17 14:00:00,80193.87344783344
2013-12-17 20:00:00,59347.665032180856
2013-12-18 02:00:00,108884.88049490319
2013-12-18 08:00:00,238442.4961264388
2013-12-18 14:00:00,247816.60637031047
2013-12-18 20:00:00,176195.2920453056
2013-12-19 02:00:00,147073.44848208933
2013-12-19 08:00:00,186808.44535129808
2013-12-19 14:00:00,183988.60873401127
2013-12-19 20:00:00,153018.40680187976
2013-12-20 02:00:00,163007.9021744454
2013-12-20 08:00:00,153100.0937771526
2013-12-20 14:00:00,127172.85418091019
2013-12-20 20:00:00,79836.9344571101
2013-12-21 02:00:00,44354.772709507735
2013-12-21 08:00:00,16059.548492350355
2013-12-21 14:00:00,23792.02869467816
2013-12-21 20:00:00,17707.83395882541
2013-12-22 02:00:00,18914.962817631782
2013-12-22 08:00:00,6103.4801309309605
2013-12-22 14:00:00,2620.452727937439
2013-12-22 20:00:00,-20910.489967484547
2013-12-23 02:00:00,-33576.66060666963
2013-12-23 08:00:00,-39864.53597792544
2013-12-23 14:00:00,-20009.400273989344
2013-12-23 20:00:00,-9525.1539972508
2013-12-24 02:00:00,-1592.6403974492355
2013-12-24 08:00:00,6515.233424474494
2013-12-24 14:00:00,3514.891644144553
2013-12-24 20:00:00,31104.611770825777
2013-12-25 02:00:00,50011.60504243747
2013-12-25 08:00:00,55798.18098038065
2013-12-25 14:00:00,78038.51966103748
2013-12-25 20:00:00,32192.160258185948
2013-12-26 02:00:00,7215.001161444138
2013-12-26 08:00:00,44205.71349973587
2013-12-26 14:00:00,29256.416069419334
2013-12-26 20:00:00,6117.757690559894
2013-12-27 02:00:00,8558.639431718979
2013-12-27 08:00:00,14815.347708290014
2013-12-27 14:00:00,5528.297115124465
2013-12-27 20:00:00,-10661.860605768272
2013-12-28 02:00:00,-8357.038616606918
2013-12-28 08:00:00,15395.698903233024
2013-12-28 14:00:00,-5646.096277349383
2013-12-28 20:00:00,-34206.91354566729
2013-12-29 02:00:00,-27442.348011357706
2013-12-29 08:00:00,-32103.28337902446
2013-12-29 14:00:00,-59313.68611341551
2013-12-29 20:00:00,-60055.43601058312
2013-12-30 02:00:00,-49886.85765376553
2013-12-30 08:00:00,-40756.99035052528
2013-12-30 14:00:00,-44924.22053371849
2013-12-30 20:00:00,-46645.93992321668
2013-12-31 02:00:00,-45697.04922035182
2013-12-31 08:00:00,-28081.93574153853
2013-12-31 14:00:00,-26475.633597172222
2013-12-31 20:00:00,-26187.749287753148
2014-01-01 02:00:00,-23177.710200077578
2014-01-01 08:00:00,-7804.41293662693
2014-01-01 14:00:00,15171.296751031266
2014-01-01 20:00:00,31691.97161157622
2014-01-02 02:00:00,43143.029903005525
2014-01-02 08:00:00,66856.35540928644
2014-01-02 14:00:00,70830.54108833011
2014-01-02 20:00:00,61952.71082321402
2014-01-03 02:00:00,63876.835070082016
2014-01-03 08:00:00,81555.6607644465
2014-01-03 14:00:00,77944.29799230136
2014-01-03 20:00:00,69014.79987874946
2014-01-04 02:00:00,46778.388456519206
2014-01-04 08:00:00,38260.91319981112
2014-01-04 14:00:00,43449.15156398187
2014-01-04 20:00:00,31505.842800371945
2014-01-05 02:00:00,19229.06099609288
2014-01-05 08:00:00,17513.495086070187
2014-01-05 14:00:00,21073.041285200026
2014-01-05 20:00:00,3235.5497027586744
2014-01-06 02:00:00,14191.72927982957
2014-01-06 08:00:00,20801.42372666027
2014-01-06 14:00:00,7228.216734622808
2014-01-06 20:00:00,4384.5958037288865
2014-01-07 02:00:00,13725.349913011729
2014-01-07 08:00:00,-5429.125706477921
2014-01-07 14:00:00,-32581.632750667923
2014-01-07 20:00:00,-59785.66356635739
2014-01-08 02:00:00,-87291.84695580865
2014-01-08 08:00:00,-76851.99496604133
2014-01-08 14:00:00,-54276.403197404834
2014-01-08 20:00:00,-25823.4809638479
2014-01-09 02:00:00,-9563.657396582148
2014-01-09 08:00:00,4886.854975343395
2014-01-09 14:00:00,10612.695513146307
2014-01-09 20:00:00,9370.143480478664
2014-01-10 02:00:00,4916.936845362365
2014-01-10 08:00:00,16515.983064827047
2014-01-10 14:00:00,17542.989029235945
2014-01-10 20:00:00,25210.86118280343
2014-01-11 02:00:00,24814.535740558153
2014-01-11 08:00:00,27242.183317966133
2014-01-11 14:00:00,25963.254182689223
2014-01-11 20:00:00,26385.27876750227
2014-01-12 02:00:00,24646.897577460553
2014-01-12 08:00:00,18551.392802103568
2014-01-12 14:00:00,7916.270087137788
2014-01-12 20:00:00,-1158.4157494766996
2014-01-13 02:00:00,-7397.825498398356
2014-01-13 08:00:00,-13850.26926447868
2014-01-13 14:00:00,-26975.785062637082
2014-01-13 20:00:00,-37662.22705280556
2014-01-14 02:00:00,-38146.58815080971
2014-01-14 08:00:00,-30354.840041653108
2014-01-14 14:00:00,-14858.83338103354
2014-01-14 20:00:00,2681.8422838452107
2014-01-15 02:00:00,24313.986901607524
2014-01-15 08:00:00,40320.144431839624
2014-01-15 14:00:00,58164.51452608137
2014-01-15 20:00:00,66425.39805441909
2014-01-16 02:00:00,70935.97751988674
2014-01-16 08:00:00,72018.4740191881
2014-01-16 14:00:00,71764.88931590885
2014-01-16 20:00:00,67067.26545354456
